,,Ship Mode,First Class,,,Same Day,,,Second Class,,,Standard Class,,
1206,US-2014-169074,26-Jan-17,,2.344,,,,,,,,2.808,,
1207,US-2014-169075,27-Jan-17,,2.344,,,,,,,,2.808,,
1208,US-2014-169076,28-Jan-17,,2.344,,,,,,,,2.808,,
1209,US-2014-169077,29-Jan-17,,2.344,,,,,,,,2.808,,
1210,US-2014-169078,30-Jan-17,,2.344,,,,,,,,2.808,,
1211,US-2014-169079,31-Jan-17,,2.344,,,,,,,,2.808,,
1212,US-2014-169080,1-Feb-17,,2.344,,,,,,,,2.808,,
1213,US-2014-169081,2-Feb-17,,2.344,,,,,,,,2.808,,
1214,US-2014-169082,3-Feb-17,,2.344,,,,,,,,2.808,,
1215,US-2014-169083,4-Feb-17,,2.344,,,,,,,,2.808,,
1216,US-2014-169084,5-Feb-17,,2.344,,,,,,,,2.808,,
1217,US-2014-169085,6-Feb-17,,2.344,,,,,,,,2.808,,
1218,US-2014-169086,7-Feb-17,,2.344,,,,,,,,2.808,,
1219,US-2014-169087,8-Feb-17,,2.344,,,,,,,,2.808,,
1220,US-2014-169088,9-Feb-17,,2.344,,,,,,,,2.808,,
1221,US-2014-169089,10-Feb-17,,2.344,,,,,,,,2.808,,
1222,US-2014-169090,11-Feb-17,,2.344,,,,,,,,2.808,,
1223,US-2014-169091,12-Feb-17,,2.344,,,,,,,,2.808,,
1224,US-2014-169092,13-Feb-17,,2.344,,,,,,,,2.808,,
1225,US-2014-169093,14-Feb-17,,2.344,,,,,,,,2.808,,
1226,US-2014-169094,15-Feb-17,,2.344,,,,,,,,2.808,,
1227,US-2014-169095,16-Feb-17,,2.344,,,,,,,,2.808,,
1228,US-2014-169096,17-Feb-17,,2.344,,,,,,,,2.808,,
1229,US-2014-169097,18-Feb-17,,2.344,,,,,,,,2.808,,
1230,US-2014-169098,19-Feb-17,,2.344,,,,,,,,2.808,,
1231,US-2014-169099,20-Feb-17,,2.344,,,,,,,,2.808,,
1232,US-2014-169100,21-Feb-17,,2.344,,,,,,,,2.808,,
1233,US-2014-169101,22-Feb-17,,2.344,,,,,,,,2.808,,
1234,US-2014-169102,23-Feb-17,,2.344,,,,,,,,2.808,,
1235,US-2014-169103,24-Feb-17,,2.344,,,,,,,,2.808,,
1236,US-2014-169104,25-Feb-17,,2.344,,,,,,,,2.808,,
1237,US-2014-169105,26-Feb-17,,2.344,,,,,,,,2.808,,
1238,US-2014-169106,27-Feb-17,,2.344,,,,,,,,2.808,,
1239,US-2014-169107,28-Feb-17,,2.344,,,,,,,,2.808,,
1240,US-2014-169108,1-Mar-17,,2.344,,,,,,,,2.808,,
1241,US-2014-169109,2-Mar-17,,2.344,,,,,,,,2.808,,
1242,US-2014-169110,3-Mar-17,,2.344,,,,,,,,2.808,,
1243,US-2014-169111,4-Mar-17,,2.344,,,,,,,,2.808,,
1244,US-2014-169112,5-Mar-17,,2.344,,,,,,,,2.808,,
1245,US-2014-169113,6-Mar-17,,2.344,,,,,,,,2.808,,
1246,US-2014-169114,7-Mar-17,,2.344,,,,,,,,2.808,,
1247,US-2014-169115,8-Mar-17,,2.344,,,,,,,,2.808,,
1248,US-2014-169116,9-Mar-17,,2.344,,,,,,,,2.808,,
1249,US-2014-169117,10-Mar-17,,2.344,,,,,,,,2.808,,
1250,US-2014-169118,11-Mar-17,,2.344,,,,,,,,2.808,,
1251,US-2014-169119,12-Mar-17,,2.344,,,,,,,,2.808,,
1252,US-2014-169120,13-Mar-17,,2.344,,,,,,,,2.808,,
1253,US-2014-169121,14-Mar-17,,2.344,,,,,,,,2.808,,
1254,US-2014-169122,15-Mar-17,,2.344,,,,,,,,2.808,,
1255,US-2014-169123,16-Mar-17,,2.344,,,,,,,,2.808,,
1256,US-2014-169124,17-Mar-17,,2.344,,,,,,,,2.808,,
1257,US-2014-169125,18-Mar-17,,2.344,,,,,,,,2.808,,
1258,US-2014-169126,19-Mar-17,,2.344,,,,,,,,2.808,,
1259,US-2014-169127,20-Mar-17,,2.344,,,,,,,,2.808,,
1260,US-2014-169128,21-Mar-17,,2.344,,,,,,,,2.808,,
1261,US-2014-169129,22-Mar-17,,2.344,,,,,,,,2.808,,
1262,US-2014-169130,23-Mar-17,,2.344,,,,,,,,2.808,,
1263,US-2014-169131,24-Mar-17,,2.344,,,,,,,,2.808,,
1264,US-2014-169132,25-Mar-17,,2.344,,,,,,,,2.808,,
1265,US-2014-169133,26-Mar-17,,2.344,,,,,,,,2.808,,
1266,US-2014-169134,27-Mar-17,,2.344,,,,,,,,2.808,,
1267,US-2014-169135,28-Mar-17,,2.344,,,,,,,,2.808,,
1268,US-2014-169136,29-Mar-17,,2.344,,,,,,,,2.808,,
1269,US-2014-169137,30-Mar-17,,2.344,,,,,,,,2.808,,
1270,US-2014-169138,31-Mar-17,,2.344,,,,,,,,2.808,,
1271,US-2014-169139,1-Apr-17,,2.344,,,,,,,,2.808,,
1272,US-2014-169140,2-Apr-17,,2.344,,,,,,,,2.808,,
1273,US-2014-169141,3-Apr-17,,2.344,,,,,,,,2.808,,
1274,US-2014-169142,4-Apr-17,,2.344,,,,,,,,2.808,,
1275,US-2014-169143,5-Apr-17,,2.344,,,,,,,,2.808,,
1276,US-2014-169144,6-Apr-17,,2.344,,,,,,,,2.808,,
1277,US-2014-169145,7-Apr-17,,2.344,,,,,,,,2.808,,
1278,US-2014-169146,8-Apr-17,,2.344,,,,,,,,2.808,,
1279,US-2014-169147,9-Apr-17,,2.344,,,,,,,,2.808,,
1280,US-2014-169148,10-Apr-17,,2.344,,,,,,,,2.808,,
1281,US-2014-169149,11-Apr-17,,2.344,,,,,,,,2.808,,
1282,US-2014-169150,12-Apr-17,,2.344,,,,,,,,2.808,,
1283,US-2014-169151,13-Apr-17,,2.344,,,,,,,,2.808,,
1284,US-2014-169152,14-Apr-17,,2.344,,,,,,,,2.808,,
1285,US-2014-169153,15-Apr-17,,2.344,,,,,,,,2.808,,
1286,US-2014-169154,16-Apr-17,,2.344,,,,,,,,2.808,,
1287,US-2014-169155,17-Apr-17,,2.344,,,,,,,,2.808,,
1288,US-2014-169156,18-Apr-17,,2.344,,,,,,,,2.808,,
1289,US-2014-169157,19-Apr-17,,2.344,,,,,,,,2.808,,
1290,US-2014-169158,20-Apr-17,,2.344,,,,,,,,2.808,,
1291,US-2014-169159,21-Apr-17,,2.344,,,,,,,,2.808,,
1292,US-2014-169160,22-Apr-17,,2.344,,,,,,,,2.808,,
1293,US-2014-169161,23-Apr-17,,2.344,,,,,,,,2.808,,
1294,US-2014-169162,24-Apr-17,,2.344,,,,,,,,2.808,,
1295,US-2014-169163,25-Apr-17,,2.344,,,,,,,,2.808,,
1296,US-2014-169164,26-Apr-17,,2.344,,,,,,,,2.808,,
1297,US-2014-169165,27-Apr-17,,2.344,,,,,,,,2.808,,
1298,US-2014-169166,28-Apr-17,,2.344,,,,,,,,2.808,,
1299,US-2014-169167,29-Apr-17,,2.344,,,,,,,,2.808,,
1300,US-2014-169168,30-Apr-17,,2.344,,,,,,,,2.808,,
1301,US-2014-169169,1-May-17,,2.344,,,,,,,,2.808,,
1302,US-2014-169170,2-May-17,,2.344,,,,,,,,2.808,,
1303,US-2014-169171,3-May-17,,2.344,,,,,,,,2.808,,
1304,US-2014-169172,4-May-17,,2.344,,,,,,,,2.808,,
1305,US-2014-169173,5-May-17,,2.344,,,,,,,,2.808,,
1306,US-2014-169174,6-May-17,,2.344,,,,,,,,2.808,,
1307,US-2014-169175,7-May-17,,2.344,,,,,,,,2.808,,
1308,US-2014-169176,8-May-17,,2.344,,,,,,,,2.808,,
1309,US-2014-169177,9-May-17,,2.344,,,,,,,,2.808,,
1310,US-2014-169178,10-May-17,,2.344,,,,,,,,2.808,,
1311,US-2014-169179,11-May-17,,2.344,,,,,,,,2.808,,
1312,US-2014-169180,12-May-17,,2.344,,,,,,,,2.808,,
1313,US-2014-169181,13-May-17,,2.344,,,,,,,,2.808,,
1314,US-2014-169182,14-May-17,,2.344,,,,,,,,2.808,,
1315,US-2014-169183,15-May-17,,2.344,,,,,,,,2.808,,
1316,US-2014-169184,16-May-17,,2.344,,,,,,,,2.808,,
1317,US-2014-169185,17-May-17,,2.344,,,,,,,,2.808,,
1318,US-2014-169186,18-May-17,,2.344,,,,,,,,2.808,,
1319,US-2014-169187,19-May-17,,2.344,,,,,,,,2.808,,
1320,US-2014-169188,20-May-17,,2.344,,,,,,,,2.808,,
1321,US-2014-169189,21-May-17,,2.344,,,,,,,,2.808,,
1322,US-2014-169190,22-May-17,,2.344,,,,,,,,2.808,,
1323,US-2014-169191,23-May-17,,2.344,,,,,,,,2.808,,
1324,US-2014-169192,24-May-17,,2.344,,,,,,,,2.808,,
1325,US-2014-169193,25-May-17,,2.344,,,,,,,,2.808,,
1326,US-2014-169194,26-May-17,,2.344,,,,,,,,2.808,,
1327,US-2014-169195,27-May-17,,2.344,,,,,,,,2.808,,
1328,US-2014-169196,28-May-17,,2.344,,,,,,,,2.808,,
1329,US-2014-169197,29-May-17,,2.344,,,,,,,,2.808,,
1330,US-2014-169198,30-May-17,,2.344,,,,,,,,2.808,,
1331,US-2014-169199,31-May-17,,2.344,,,,,,,,2.808,,
1332,US-2014-169200,1-Jun-17,,2.344,,,,,,,,2.808,,
1333,US-2014-169201,2-Jun-17,,2.344,,,,,,,,2.808,,
1334,US-2014-169202,3-Jun-17,,2.344,,,,,,,,2.808,,
1335,US-2014-169203,4-Jun-17,,2.344,,,,,,,,2.808,,
1336,US-2014-169204,5-Jun-17,,2.344,,,,,,,,2.808,,
1337,US-2014-169205,6-Jun-17,,2.344,,,,,,,,2.808,,
1338,US-2014-169206,7-Jun-17,,2.344,,,,,,,,2.808,,
1339,US-2014-169207,8-Jun-17,,2.344,,,,,,,,2.808,,
1340,US-2014-169208,9-Jun-17,,2.344,,,,,,,,2.808,,
1341,US-2014-169209,10-Jun-17,,2.344,,,,,,,,2.808,,
1342,US-2014-169210,11-Jun-17,,2.344,,,,,,,,2.808,,
1343,US-2014-169211,12-Jun-17,,2.344,,,,,,,,2.808,,
1344,US-2014-169212,13-Jun-17,,2.344,,,,,,,,2.808,,
1345,US-2014-169213,14-Jun-17,,2.344,,,,,,,,2.808,,
1346,US-2014-169214,15-Jun-17,,2.344,,,,,,,,2.808,,
1347,US-2014-169215,16-Jun-17,,2.344,,,,,,,,2.808,,
1348,US-2014-169216,17-Jun-17,,2.344,,,,,,,,2.808,,
1349,US-2014-169217,18-Jun-17,,2.344,,,,,,,,2.808,,
1350,US-2014-169218,19-Jun-17,,2.344,,,,,,,,2.808,,
1351,US-2014-169219,20-Jun-17,,2.344,,,,,,,,2.808,,
1352,US-2014-169220,21-Jun-17,,2.344,,,,,,,,2.808,,
1353,US-2014-169221,22-Jun-17,,2.344,,,,,,,,2.808,,
1354,US-2014-169222,23-Jun-17,,2.344,,,,,,,,2.808,,
1355,US-2014-169223,24-Jun-17,,2.344,,,,,,,,2.808,,
1356,US-2014-169224,25-Jun-17,,2.344,,,,,,,,2.808,,
1357,US-2014-169225,26-Jun-17,,2.344,,,,,,,,2.808,,
1358,US-2014-169226,27-Jun-17,,2.344,,,,,,,,2.808,,
1359,US-2014-169227,28-Jun-17,,2.344,,,,,,,,2.808,,
1360,US-2014-169228,29-Jun-17,,2.344,,,,,,,,2.808,,
1361,US-2014-169229,30-Jun-17,,2.344,,,,,,,,2.808,,
1362,US-2014-169230,1-Jul-17,,2.344,,,,,,,,2.808,,
1363,US-2014-169231,2-Jul-17,,2.344,,,,,,,,2.808,,
1364,US-2014-169232,3-Jul-17,,2.344,,,,,,,,2.808,,
1365,US-2014-169233,4-Jul-17,,2.344,,,,,,,,2.808,,
1366,US-2014-169234,5-Jul-17,,2.344,,,,,,,,2.808,,
1367,US-2014-169235,6-Jul-17,,2.344,,,,,,,,2.808,,
1368,US-2014-169236,7-Jul-17,,2.344,,,,,,,,2.808,,
1369,US-2014-169237,8-Jul-17,,2.344,,,,,,,,2.808,,
1370,US-2014-169238,9-Jul-17,,2.344,,,,,,,,2.808,,
1371,US-2014-169239,10-Jul-17,,2.344,,,,,,,,2.808,,
1372,US-2014-169240,11-Jul-17,,2.344,,,,,,,,2.808,,
1373,US-2014-169241,12-Jul-17,,2.344,,,,,,,,2.808,,
1374,US-2014-169242,13-Jul-17,,2.344,,,,,,,,2.808,,
1375,US-2014-169243,14-Jul-17,,2.344,,,,,,,,2.808,,
1376,US-2014-169244,15-Jul-17,,2.344,,,,,,,,2.808,,
1377,US-2014-169245,16-Jul-17,,2.344,,,,,,,,2.808,,
1378,US-2014-169246,17-Jul-17,,2.344,,,,,,,,2.808,,
1379,US-2014-169247,18-Jul-17,,2.344,,,,,,,,2.808,,
1380,US-2014-169248,19-Jul-17,,2.344,,,,,,,,2.808,,
1381,US-2014-169249,20-Jul-17,,2.344,,,,,,,,2.808,,
1382,US-2014-169250,21-Jul-17,,2.344,,,,,,,,2.808,,
1383,US-2014-169251,22-Jul-17,,2.344,,,,,,,,2.808,,
1384,US-2014-169252,23-Jul-17,,2.344,,,,,,,,2.808,,
1385,US-2014-169253,24-Jul-17,,2.344,,,,,,,,2.808,,
1386,US-2014-169254,25-Jul-17,,2.344,,,,,,,,2.808,,
1387,US-2014-169255,26-Jul-17,,2.344,,,,,,,,2.808,,
1388,US-2014-169256,27-Jul-17,,2.344,,,,,,,,2.808,,
1389,US-2014-169257,28-Jul-17,,2.344,,,,,,,,2.808,,
1390,US-2014-169258,29-Jul-17,,2.344,,,,,,,,2.808,,
1391,US-2014-169259,30-Jul-17,,2.344,,,,,,,,2.808,,
1392,US-2014-169260,31-Jul-17,,2.344,,,,,,,,2.808,,
1393,US-2014-169261,1-Aug-17,,2.344,,,,,,,,2.808,,
1394,US-2014-169262,2-Aug-17,,2.344,,,,,,,,2.808,,
1395,US-2014-169263,3-Aug-17,,2.344,,,,,,,,2.808,,
1396,US-2014-169264,4-Aug-17,,2.344,,,,,,,,2.808,,
1397,US-2014-169265,5-Aug-17,,2.344,,,,,,,,2.808,,
1398,US-2014-169266,6-Aug-17,,2.344,,,,,,,,2.808,,
1399,US-2014-169267,7-Aug-17,,2.344,,,,,,,,2.808,,
1400,US-2014-169268,8-Aug-17,,2.344,,,,,,,,2.808,,
1401,US-2014-169269,9-Aug-17,,2.344,,,,,,,,2.808,,
1402,US-2014-169270,10-Aug-17,,2.344,,,,,,,,2.808,,
1403,US-2014-169271,11-Aug-17,,2.344,,,,,,,,2.808,,
1404,US-2014-169272,12-Aug-17,,2.344,,,,,,,,2.808,,
1405,US-2014-169273,13-Aug-17,,2.344,,,,,,,,2.808,,
1406,US-2014-169274,14-Aug-17,,2.344,,,,,,,,2.808,,
1407,US-2014-169275,15-Aug-17,,2.344,,,,,,,,2.808,,
1408,US-2014-169276,16-Aug-17,,2.344,,,,,,,,2.808,,
1409,US-2014-169277,17-Aug-17,,2.344,,,,,,,,2.808,,
1410,US-2014-169278,18-Aug-17,,2.344,,,,,,,,2.808,,
1411,US-2014-169279,19-Aug-17,,2.344,,,,,,,,2.808,,
1412,US-2014-169280,20-Aug-17,,2.344,,,,,,,,2.808,,
1413,US-2014-169281,21-Aug-17,,2.344,,,,,,,,2.808,,
1414,US-2014-169282,22-Aug-17,,2.344,,,,,,,,2.808,,
1415,US-2014-169283,23-Aug-17,,2.344,,,,,,,,2.808,,
1416,US-2014-169284,24-Aug-17,,2.344,,,,,,,,2.808,,
1417,US-2014-169285,25-Aug-17,,2.344,,,,,,,,2.808,,
1418,US-2014-169286,26-Aug-17,,2.344,,,,,,,,2.808,,
1419,US-2014-169287,27-Aug-17,,2.344,,,,,,,,2.808,,
1420,US-2014-169288,28-Aug-17,,2.344,,,,,,,,2.808,,
1421,US-2014-169289,29-Aug-17,,2.344,,,,,,,,2.808,,
1422,US-2014-169290,30-Aug-17,,2.344,,,,,,,,2.808,,
1423,US-2014-169291,31-Aug-17,,2.344,,,,,,,,2.808,,
1424,US-2014-169292,1-Sep-17,,2.344,,,,,,,,2.808,,
1425,US-2014-169293,2-Sep-17,,2.344,,,,,,,,2.808,,
1426,US-2014-169294,3-Sep-17,,2.344,,,,,,,,2.808,,
1427,US-2014-169295,4-Sep-17,,2.344,,,,,,,,2.808,,
1428,US-2014-169296,5-Sep-17,,2.344,,,,,,,,2.808,,
1429,US-2014-169297,6-Sep-17,,2.344,,,,,,,,2.808,,
1430,US-2014-169298,7-Sep-17,,2.344,,,,,,,,2.808,,
1431,US-2014-169299,8-Sep-17,,2.344,,,,,,,,2.808,,
1432,US-2014-169300,9-Sep-17,,2.344,,,,,,,,2.808,,
1433,US-2014-169301,10-Sep-17,,2.344,,,,,,,,2.808,,
1434,US-2014-169302,11-Sep-17,,2.344,,,,,,,,2.808,,
1435,US-2014-169303,12-Sep-17,,2.344,,,,,,,,2.808,,
1436,US-2014-169304,13-Sep-17,,2.344,,,,,,,,2.808,,
1437,US-2014-169305,14-Sep-17,,2.344,,,,,,,,2.808,,
1438,US-2014-169306,15-Sep-17,,2.344,,,,,,,,2.808,,
1439,US-2014-169307,16-Sep-17,,2.344,,,,,,,,2.808,,
1440,US-2014-169308,17-Sep-17,,2.344,,,,,,,,2.808,,
1441,US-2014-169309,18-Sep-17,,2.344,,,,,,,,2.808,,
1442,US-2014-169310,19-Sep-17,,2.344,,,,,,,,2.808,,
1443,US-2014-169311,20-Sep-17,,2.344,,,,,,,,2.808,,
1444,US-2014-169312,21-Sep-17,,2.344,,,,,,,,2.808,,
1445,US-2014-169313,22-Sep-17,,2.344,,,,,,,,2.808,,
1446,US-2014-169314,23-Sep-17,,2.344,,,,,,,,2.808,,
1447,US-2014-169315,24-Sep-17,,2.344,,,,,,,,2.808,,
1448,US-2014-169316,25-Sep-17,,2.344,,,,,,,,2.808,,
1449,US-2014-169317,26-Sep-17,,2.344,,,,,,,,2.808,,
1450,US-2014-169318,27-Sep-17,,2.344,,,,,,,,2.808,,
1451,US-2014-169319,28-Sep-17,,2.344,,,,,,,,2.808,,
1452,US-2014-169320,29-Sep-17,,2.344,,,,,,,,2.808,,
1453,US-2014-169321,30-Sep-17,,2.344,,,,,,,,2.808,,
1454,US-2014-169322,1-Oct-17,,2.344,,,,,,,,2.808,,
1455,US-2014-169323,2-Oct-17,,2.344,,,,,,,,2.808,,
1456,US-2014-169324,3-Oct-17,,2.344,,,,,,,,2.808,,
1457,US-2014-169325,4-Oct-17,,2.344,,,,,,,,2.808,,
1458,US-2014-169326,5-Oct-17,,2.344,,,,,,,,2.808,,
1459,US-2014-169327,6-Oct-17,,2.344,,,,,,,,2.808,,
1460,US-2014-169328,7-Oct-17,,2.344,,,,,,,,2.808,,
1461,US-2014-169329,8-Oct-17,,2.344,,,,,,,,2.808,,
1462,US-2014-169330,9-Oct-17,,2.344,,,,,,,,2.808,,
1463,US-2014-169331,10-Oct-17,,2.344,,,,,,,,2.808,,
1464,US-2014-169332,11-Oct-17,,2.344,,,,,,,,2.808,,
1465,US-2014-169333,12-Oct-17,,2.344,,,,,,,,2.808,,
1466,US-2014-169334,13-Oct-17,,2.344,,,,,,,,2.808,,
1467,US-2014-169335,14-Oct-17,,2.344,,,,,,,,2.808,,
1468,US-2014-169336,15-Oct-17,,2.344,,,,,,,,2.808,,
1469,US-2014-169337,16-Oct-17,,2.344,,,,,,,,2.808,,
1470,US-2014-169338,17-Oct-17,,2.344,,,,,,,,2.808,,
1471,US-2014-169339,18-Oct-17,,2.344,,,,,,,,2.808,,
1472,US-2014-169340,19-Oct-17,,2.344,,,,,,,,2.808,,
1473,US-2014-169341,20-Oct-17,,2.344,,,,,,,,2.808,,
1474,US-2014-169342,21-Oct-17,,2.344,,,,,,,,2.808,,
1475,US-2014-169343,22-Oct-17,,2.344,,,,,,,,2.808,,
1476,US-2014-169344,23-Oct-17,,2.344,,,,,,,,2.808,,
1477,US-2014-169345,24-Oct-17,,2.344,,,,,,,,2.808,,
1478,US-2014-169346,25-Oct-17,,2.344,,,,,,,,2.808,,
1479,US-2014-169347,26-Oct-17,,2.344,,,,,,,,2.808,,
1480,US-2014-169348,27-Oct-17,,2.344,,,,,,,,2.808,,
1481,US-2014-169349,28-Oct-17,,2.344,,,,,,,,2.808,,
1482,US-2014-169350,29-Oct-17,,2.344,,,,,,,,2.808,,
1483,US-2014-169351,30-Oct-17,,2.344,,,,,,,,2.808,,
1484,US-2014-169352,31-Oct-17,,2.344,,,,,,,,2.808,,
1485,US-2014-169353,1-Nov-17,,2.344,,,,,,,,2.808,,
1486,US-2014-169354,2-Nov-17,,2.344,,,,,,,,2.808,,
1487,US-2014-169355,3-Nov-17,,2.344,,,,,,,,2.808,,
1488,US-2014-169356,4-Nov-17,,2.344,,,,,,,,2.808,,
1489,US-2014-169357,5-Nov-17,,2.344,,,,,,,,2.808,,
1490,US-2014-169358,6-Nov-17,,2.344,,,,,,,,2.808,,
1491,US-2014-169359,7-Nov-17,,2.344,,,,,,,,2.808,,
1492,US-2014-169360,8-Nov-17,,2.344,,,,,,,,2.808,,
1493,US-2014-169361,9-Nov-17,,2.344,,,,,,,,2.808,,
1494,US-2014-169362,10-Nov-17,,2.344,,,,,,,,2.808,,
1495,US-2014-169363,11-Nov-17,,2.344,,,,,,,,2.808,,
1496,US-2014-169364,12-Nov-17,,2.344,,,,,,,,2.808,,
1497,US-2014-169365,13-Nov-17,,2.344,,,,,,,,2.808,,
1498,US-2014-169366,14-Nov-17,,2.344,,,,,,,,2.808,,
1499,US-2014-169367,15-Nov-17,,2.344,,,,,,,,2.808,,
1500,US-2014-169368,16-Nov-17,,2.344,,,,,,,,2.808,,
1501,US-2014-169369,17-Nov-17,,2.344,,,,,,,,2.808,,
1502,US-2014-169370,18-Nov-17,,2.344,,,,,,,,2.808,,
1503,US-2014-169371,19-Nov-17,,2.344,,,,,,,,2.808,,
1504,US-2014-169372,20-Nov-17,,2.344,,,,,,,,2.808,,
1505,US-2014-169373,21-Nov-17,,2.344,,,,,,,,2.808,,
1506,US-2014-169374,22-Nov-17,,2.344,,,,,,,,2.808,,
1507,US-2014-169375,23-Nov-17,,2.344,,,,,,,,2.808,,
1508,US-2014-169376,24-Nov-17,,2.344,,,,,,,,2.808,,
1509,US-2014-169377,25-Nov-17,,2.344,,,,,,,,2.808,,
1510,US-2014-169378,26-Nov-17,,2.344,,,,,,,,2.808,,
1511,US-2014-169379,27-Nov-17,,2.344,,,,,,,,2.808,,
1512,US-2014-169380,28-Nov-17,,2.344,,,,,,,,2.808,,
1513,US-2014-169381,29-Nov-17,,2.344,,,,,,,,2.808,,
1514,US-2014-169382,30-Nov-17,,2.344,,,,,,,,2.808,,
1515,US-2014-169383,1-Dec-17,,2.344,,,,,,,,2.808,,
1516,US-2014-169384,2-Dec-17,,2.344,,,,,,,,2.808,,
1517,US-2014-169385,3-Dec-17,,2.344,,,,,,,,2.808,,
1518,US-2014-169386,4-Dec-17,,2.344,,,,,,,,2.808,,
1519,US-2014-169387,5-Dec-17,,2.344,,,,,,,,2.808,,
1520,US-2014-169388,6-Dec-17,,2.344,,,,,,,,2.808,,
1521,US-2014-169389,7-Dec-17,,2.344,,,,,,,,2.808,,
1522,US-2014-169390,8-Dec-17,,2.344,,,,,,,,2.808,,
1523,US-2014-169391,9-Dec-17,,2.344,,,,,,,,2.808,,
1524,US-2014-169392,10-Dec-17,,2.344,,,,,,,,2.808,,
1525,US-2014-169393,11-Dec-17,,2.344,,,,,,,,2.808,,
1526,US-2014-169394,12-Dec-17,,2.344,,,,,,,,2.808,,
1527,US-2014-169395,13-Dec-17,,2.344,,,,,,,,2.808,,
1528,US-2014-169396,14-Dec-17,,2.344,,,,,,,,2.808,,
1529,US-2014-169397,15-Dec-17,,2.344,,,,,,,,2.808,,
1530,US-2014-169398,16-Dec-17,,2.344,,,,,,,,2.808,,
1531,US-2014-169399,17-Dec-17,,2.344,,,,,,,,2.808,,
1532,US-2014-169400,18-Dec-17,,2.344,,,,,,,,2.808,,
1533,US-2014-169401,19-Dec-17,,2.344,,,,,,,,2.808,,
1534,US-2014-169402,20-Dec-17,,2.344,,,,,,,,2.808,,
1535,US-2014-169403,21-Dec-17,,2.344,,,,,,,,2.808,,
1536,US-2014-169404,22-Dec-17,,2.344,,,,,,,,2.808,,
1537,US-2014-169405,23-Dec-17,,2.344,,,,,,,,2.808,,
1538,US-2014-169406,24-Dec-17,,2.344,,,,,,,,2.808,,
1539,US-2014-169407,25-Dec-17,,2.344,,,,,,,,2.808,,
1540,US-2014-169408,26-Dec-17,,2.344,,,,,,,,2.808,,
1541,US-2014-169409,27-Dec-17,,2.344,,,,,,,,2.808,,
1542,US-2014-169410,28-Dec-17,,2.344,,,,,,,,2.808,,
1543,US-2014-169411,29-Dec-17,,2.344,,,,,,,,2.808,,
1544,US-2014-169412,30-Dec-17,,2.344,,,,,,,,2.808,,
1545,US-2014-169413,31-Dec-17,,2.344,,,,,,,,2.808,,
1546,US-2014-169414,1-Jan-18,,2.344,,,,,,,,2.808,,
1547,US-2014-169415,2-Jan-18,,2.344,,,,,,,,2.808,,
1548,US-2014-169416,3-Jan-18,,2.344,,,,,,,,2.808,,
1549,US-2014-169417,4-Jan-18,,2.344,,,,,,,,2.808,,
1550,US-2014-169418,5-Jan-18,,2.344,,,,,,,,2.808,,
1551,US-2014-169419,6-Jan-18,,2.344,,,,,,,,2.808,,
1552,US-2014-169420,7-Jan-18,,2.344,,,,,,,,2.808,,
1553,US-2014-169421,8-Jan-18,,2.344,,,,,,,,2.808,,
1554,US-2014-169422,9-Jan-18,,2.344,,,,,,,,2.808,,
1555,US-2014-169423,10-Jan-18,,2.344,,,,,,,,2.808,,
1556,US-2014-169424,11-Jan-18,,2.344,,,,,,,,2.808,,
1557,US-2014-169425,12-Jan-18,,2.344,,,,,,,,2.808,,
1558,US-2014-169426,13-Jan-18,,2.344,,,,,,,,2.808,,
1559,US-2014-169427,14-Jan-18,,2.344,,,,,,,,2.808,,
1560,US-2014-169428,15-Jan-18,,2.344,,,,,,,,2.808,,
1561,US-2014-169429,16-Jan-18,,2.344,,,,,,,,2.808,,
1562,US-2014-169430,17-Jan-18,,2.344,,,,,,,,2.808,,
1563,US-2014-169431,18-Jan-18,,2.344,,,,,,,,2.808,,
1564,US-2014-169432,19-Jan-18,,2.344,,,,,,,,2.808,,
1565,US-2014-169433,20-Jan-18,,2.344,,,,,,,,2.808,,
1566,US-2014-169434,21-Jan-18,,2.344,,,,,,,,2.808,,
1567,US-2014-169435,22-Jan-18,,2.344,,,,,,,,2.808,,
1568,US-2014-169436,23-Jan-18,,2.344,,,,,,,,2.808,,
1569,US-2014-169437,24-Jan-18,,2.344,,,,,,,,2.808,,
1570,US-2014-169438,25-Jan-18,,2.344,,,,,,,,2.808,,
1571,US-2014-169439,26-Jan-18,,2.344,,,,,,,,2.808,,
1572,US-2014-169440,27-Jan-18,,2.344,,,,,,,,2.808,,
1573,US-2014-169441,28-Jan-18,,2.344,,,,,,,,2.808,,
1574,US-2014-169442,29-Jan-18,,2.344,,,,,,,,2.808,,
1575,US-2014-169443,30-Jan-18,,2.344,,,,,,,,2.808,,
1576,US-2014-169444,31-Jan-18,,2.344,,,,,,,,2.808,,
1577,US-2014-169445,1-Feb-18,,2.344,,,,,,,,2.808,,
1578,US-2014-169446,2-Feb-18,,2.344,,,,,,,,2.808,,
1579,US-2014-169447,3-Feb-18,,2.344,,,,,,,,2.808,,
1580,US-2014-169448,4-Feb-18,,2.344,,,,,,,,2.808,,
1581,US-2014-169449,5-Feb-18,,2.344,,,,,,,,2.808,,
1582,US-2014-169450,6-Feb-18,,2.344,,,,,,,,2.808,,
1583,US-2014-169451,7-Feb-18,,2.344,,,,,,,,2.808,,
1584,US-2014-169452,8-Feb-18,,2.344,,,,,,,,2.808,,
